Ano,Empresa,Capital,Trabalho,Producao
1969,3356,1298.8000000017,3.18816763321545,10.427613537543
1970,3356,1385.79999999545,2.94974060052483,9.80755381574817
1971,3356,1422.40000000051,2.77557827476088,9.31292930286842
1972,3356,1444.30000000416,2.78184873486206,9.12085549269051
1973,3356,1433.09999999423,3.13271123511122,11.3881094493892
1974,3356,1475.49999999558,3.261318681315,13.4434097331273
1975,3356,1583.90000000258,2.6997695671199,11.3301169342487
1976,3356,1637.50000000097,2.65175495005699,11.2488692003054
1977,3356,1687.79999999347,2.73478750347618,9.80525576226698
1978,3356,1686.9000000063,3.04605907063654,12.1649268747566
1979,3356,1725.30000000376,3.3228896970972,15.4385196918475
1980,3356,1712.70000000287,3.49186326584867,18.8693872819805
